employee_id,department,job_level,hire_date,annual_salary_usd,performance_score
E0063,Legal,Manager,2020-11-18,127000,4.4
E0064,Legal,IC,2021-10-19,171000,4.9
E0065,Legal,Senior IC,2019-07-31,153000,4.9
E0066,Marketing,IC,2024-04-01,153000,2.5
E0067,Engineering,Manager,2024-01-07,146000,4.2
E0068,Finance,Manager,2020-12-09,147000,2.8
E0069,Ops,IC,2020-08-15,135000,4.8
E0070,HR,IC,2020-06-25,170000,4.8
E0071,HR,Manager,2021-05-22,81000,2.8
E0072,Marketing,Manager,2018-06-02,81000,2.7
E0073,Sales,Manager,2024-01-11,168000,3.4
E0074,Ops,Director,2024-01-22,91000,4.7
E0075,Legal,Manager,2019-02-10,156000,4.8
E0076,Engineering,Lead,2021-02-19,107000,3.6
E0077,Legal,Lead,2020-08-25,77000,5.0
E0078,Finance,Lead,2022-02-13,67000,3.5
E0079,Engineering,Manager,2020-02-17,75000,4.2
E0080,Engineering,IC,2024-09-11,137000,3.1
E0081,Legal,Director,2019-05-31,104000,2.7
E0082,Sales,Director,2024-03-20,107000,4.5
E0083,Marketing,Senior IC,2020-08-12,52000,3.2
E0084,Sales,Director,2019-08-16,116000,4.5
E0085,HR,IC,2019-03-27,85000,2.5
E0086,Finance,Lead,2020-09-01,56000,2.9
E0087,Sales,Manager,2018-08-03,186000,2.8
E0088,Ops,Manager,2018-09-18,144000,3.8
E0089,Ops,Director,2019-03-23,108000,4.9
E0090,HR,Director,2018-06-27,129000,3.6
E0091,Engineering,Manager,2018-05-08,154000,3.6
E0092,Ops,Manager,2019-03-19,70000,4.7
E0093,Finance,Senior IC,2021-08-12,68000,2.8
E0094,Finance,Lead,2024-07-25,149000,5.0
E0095,Marketing,Manager,2023-12-14,181000,4.0
E0096,Legal,IC,2019-02-11,193000,4.3
E0097,Ops,Manager,2020-05-30,110000,3.5
E0098,Ops,Manager,2023-02-01,76000,3.3
E0099,HR,Lead,2021-07-04,147000,4.9
E0100,Engineering,IC,2023-04-27,73000,2.7
E0101,HR,Lead,2019-01-31,85000,3.9
E0102,Finance,Director,2024-07-30,136000,4.2
E0103,Marketing,Manager,2022-08-10,65000,4.9
E0104,Marketing,Lead,2024-09-25,78000,3.9
E0105,Sales,Manager,2020-05-21,109000,4.6
E0106,Legal,Director,2021-12-05,146000,2.8
E0107,Finance,Senior IC,2021-02-15,161000,4.6
E0108,Engineering,Director,2024-03-30,120000,2.6
E0109,HR,Lead,2021-01-24,138000,3.4
E0110,Legal,Senior IC,2020-01-14,154000,2.7
E0111,Engineering,Director,2018-05-06,107000,3.4
E0112,Marketing,Senior IC,2023-02-02,146000,3.3
E0113,Legal,Director,2021-08-21,73000,4.7
E0114,Sales,Director,2019-09-30,64000,4.2
E0115,Ops,Manager,2021-01-19,176000,4.0
E0116,Marketing,Senior IC,2022-08-24,183000,2.8
E0117,Engineering,Lead,2022-10-27,176000,3.8
E0118,Engineering,Senior IC,2021-06-17,153000,5.0
E0119,Engineering,Senior IC,2018-08-13,129000,4.9
E0120,Legal,Lead,2019-07-17,126000,3.3
E0121,Ops,Manager,2018-02-01,96000,2.8
E0122,HR,Senior IC,2023-12-22,180000,3.9
E0123,Engineering,Manager,2021-12-21,62000,3.6
E0124,Engineering,Lead,2023-02-27,161000,3.9
E0125,Marketing,IC,2022-09-07,155000,2.6
E0126,Sales,Director,2021-08-23,169000,4.6
E0127,Engineering,Manager,2022-01-22,79000,3.1
E0128,Ops,Director,2024-08-09,72000,3.5
E0129,HR,Lead,2021-06-24,108000,3.3
E0130,Engineering,Director,2019-11-20,81000,3.8
E0131,Legal,Lead,2020-03-05,141000,4.3
E0132,Sales,IC,2019-08-28,89000,3.1
E0133,Finance,Senior IC,2019-12-12,71000,2.9
E0134,Ops,Director,2023-07-17,166000,4.2
E0135,HR,Director,2024-05-01,134000,4.7
E0136,Sales,Manager,2021-07-18,69000,3.7
E0137,Legal,Lead,2021-05-25,66000,3.4
E0138,Marketing,Manager,2018-10-31,167000,2.6
E0139,Legal,Lead,2022-02-19,71000,4.1
E0140,Finance,Director,2019-01-05,181000,3.5
E0141,Finance,IC,2024-07-05,167000,4.8
E0142,HR,Senior IC,2024-05-30,134000,4.0
E0143,Sales,IC,2023-08-16,167000,2.8
E0144,HR,IC,2021-11-07,181000,4.1
E0145,Sales,Manager,2018-06-10,164000,3.8
E0146,Sales,Lead,2024-11-02,147000,4.8
E0147,Ops,Lead,2022-05-06,65000,4.5
E0148,Engineering,Lead,2021-10-02,76000,3.9
E0149,Marketing,Lead,2022-05-03,90000,3.3
E0150,HR,Senior IC,2024-07-14,141000,3.3
E0151,Sales,Director,2022-05-25,73000,3.3
E0152,HR,Lead,2022-03-23,84000,4.2
E0153,Engineering,Manager,2023-11-27,182000,3.4
E0154,Marketing,Senior IC,2022-01-25,106000,3.4
E0155,Sales,Senior IC,2023-06-15,87000,2.9
E0156,Legal,IC,2021-04-26,181000,4.4
E0157,Engineering,Lead,2023-11-27,85000,4.0
E0158,Sales,Senior IC,2019-09-24,94000,4.3
E0159,Ops,Lead,2018-06-28,112000,4.9
E0160,Marketing,Manager,2024-11-05,111000,3.8
E0161,Legal,Manager,2021-06-21,101000,3.4
E0162,Ops,Manager,2024-05-25,124000,4.4
E0163,Finance,Manager,2023-08-22,93000,4.5
E0164,Sales,Lead,2024-10-12,65000,4.1
E0165,Finance,IC,2022-03-01,184000,4.6
E0166,Engineering,Senior IC,2021-03-13,121000,3.6
E0167,Sales,Manager,2023-10-04,75000,4.9
E0168,Legal,Manager,2020-06-28,141000,4.8
E0169,Engineering,Manager,2022-08-27,180000,3.4
E0170,Engineering,Lead,2022-05-01,109000,2.6
E0171,Legal,Lead,2019-02-10,89000,2.8
E0172,Legal,Manager,2021-03-21,87000,4.4
E0173,Ops,Director,2023-04-06,53000,4.8
E0174,Marketing,Senior IC,2018-03-19,90000,3.9
E0175,Finance,Manager,2024-10-29,80000,4.4
E0176,Marketing,IC,2020-08-31,64000,3.1
E0177,Engineering,IC,2023-02-16,179000,4.0
E0178,HR,Director,2018-03-09,113000,4.3
E0179,Ops,IC,2021-04-08,142000,3.1
E0180,Sales,IC,2022-09-03,186000,4.9
E0181,Finance,Director,2018-10-05,181000,4.5
E0182,Finance,IC,2023-09-11,151000,4.7
E0183,HR,Manager,2018-06-28,147000,3.1
E0184,Marketing,IC,2018-03-08,140000,3.1
E0185,Legal,Director,2019-03-01,137000,2.8
E0186,Finance,Lead,2021-12-14,96000,4.6
E0187,HR,Manager,2023-03-19,98000,4.5
E0188,HR,Manager,2018-09-16,61000,3.2
E0189,Legal,Senior IC,2018-06-29,62000,3.3
E0190,Finance,Manager,2021-06-24,191000,3.7
E0191,Legal,Senior IC,2018-05-30,125000,3.4
E0192,Legal,Lead,2018-07-15,121000,2.8
E0193,Ops,Manager,2022-02-16,164000,4.7
E0194,Marketing,Senior IC,2022-05-03,179000,4.2
E0195,Legal,Director,2022-02-13,120000,4.5
E0196,Engineering,Manager,2022-10-05,98000,3.9
E0197,Engineering,IC,2021-08-08,135000,4.2
E0198,Ops,Director,2021-06-09,161000,2.9
E0199,Marketing,Manager,2022-12-24,62000,4.3
E0200,Finance,Manager,2021-12-15,122000,4.1
E0201,Engineering,Manager,2018-08-23,145000,3.8
E0202,Engineering,Senior IC,2019-10-18,164000,2.6
E0203,Sales,Lead,2018-10-03,144000,3.5
E0204,Engineering,Director,2024-05-12,91000,4.2
E0205,Marketing,Manager,2022-02-28,71000,3.9
E0206,Marketing,Manager,2023-12-09,132000,4.1
E0207,Engineering,IC,2020-10-19,99000,3.7
E0208,Finance,IC,2022-05-05,119000,4.4
E0209,Sales,Director,2023-01-02,125000,4.2
E0210,Sales,IC,2023-07-05,86000,4.6
E0211,Sales,Manager,2023-01-26,74000,4.5
E0212,HR,Lead,2021-08-02,68000,3.9
E0213,Marketing,Senior IC,2021-04-04,96000,4.5
E0214,Sales,IC,2023-09-15,103000,4.5
E0215,Legal,Manager,2020-08-27,58000,3.4
E0216,Marketing,Manager,2024-06-02,193000,2.8
E0217,Engineering,Lead,2018-12-20,153000,5.0
E0218,Finance,Manager,2023-05-15,156000,4.6
E0219,Sales,Lead,2018-10-30,70000,3.6
E0220,Marketing,Senior IC,2023-10-21,193000,4.1
